Address,Postcode,X,Y,Recommendation,RecommendationCode,Date,Hash,LocalAuthority
"UNIT 2, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Add local time control to heating system.,EPC-H5,2010-04-29,db6be5e216c30695a797e193e41ecfd7d2d5fbba99c6238f2faea99e6b15676f,Manchester
"1121, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Some spaces have a significant risk of overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.,EPC-V1,2011-01-21,a80c53a1bac424b360fd1f66419935f89dce78d063fffebbea508ebb5971ba66,Manchester
"UNIT 3, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Add optimum start/stop to the heating system.,EPC-H7,2010-04-29,cbd27930fc4e7d09bfa2cb5a923452e6f9f413e2b3efc799440b468d006c1a6d,Manchester
"UNIT 3A, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Consider installing an air source heat pump.,EPC-R5,2010-04-29,98210623d10fd686cf50f17e4e5eabcf30cc2a53cf6ac4cf1a61574667ee1b86,Manchester
"UNIT 3, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Consider replacing T8 lamps with retrofit T5 conversion kit.,EPC-L5,2010-04-29,cbd27930fc4e7d09bfa2cb5a923452e6f9f413e2b3efc799440b468d006c1a6d,Manchester
"Unit 3, 1121 Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Consider replacing T8 lamps with retrofit T5 conversion kit.,EPC-L5,2012-07-24,af0ff449424879481a40383ea68c44c95f4eff7720315264e1d4b43eac449254,Manchester
"1121, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,EPC-L7,2011-01-21,a80c53a1bac424b360fd1f66419935f89dce78d063fffebbea508ebb5971ba66,Manchester
"UNIT 1, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Consider installing building mounted wind turbine(s).,EPC-R2,2010-04-29,969e4d9051d1d34234c6989f13f1b12e4090a8892f946321317d224e2fe4a3b6,Manchester
"Unit 2, 1121 Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Add weather compensation controls to heating system.,EPC-H8,2012-02-28,6ddda61e43cc94cbad72ad0e89db4d3391d947b4f420936c5332ff1e91cde6bd,Manchester
"UNIT 3, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Consider installing building mounted wind turbine(s).,EPC-R2,2010-04-29,cbd27930fc4e7d09bfa2cb5a923452e6f9f413e2b3efc799440b468d006c1a6d,Manchester
"UNIT 2, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Add time control to heating system.,EPC-H2,2010-04-29,db6be5e216c30695a797e193e41ecfd7d2d5fbba99c6238f2faea99e6b15676f,Manchester
"UNIT 3A, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Some spaces have a significant risk of overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.,EPC-V1,2010-04-29,98210623d10fd686cf50f17e4e5eabcf30cc2a53cf6ac4cf1a61574667ee1b86,Manchester
"UNIT 2, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Consider installing an air source heat pump.,EPC-R5,2010-04-29,db6be5e216c30695a797e193e41ecfd7d2d5fbba99c6238f2faea99e6b15676f,Manchester
"1121, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Add optimum start/stop to the heating system.,EPC-H7,2011-01-21,a80c53a1bac424b360fd1f66419935f89dce78d063fffebbea508ebb5971ba66,Manchester
"UNIT 1, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Consider installing PV.,EPC-R4,2010-04-29,969e4d9051d1d34234c6989f13f1b12e4090a8892f946321317d224e2fe4a3b6,Manchester
"UNIT 3A, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Consider installing PV.,EPC-R4,2010-04-29,98210623d10fd686cf50f17e4e5eabcf30cc2a53cf6ac4cf1a61574667ee1b86,Manchester
"Unit 2, 1121 Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Consider installing solar water heating.,EPC-R3,2012-02-28,6ddda61e43cc94cbad72ad0e89db4d3391d947b4f420936c5332ff1e91cde6bd,Manchester
"Unit 2, 1121 Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Add optimum start/stop to the heating system.,EPC-H7,2012-02-28,6ddda61e43cc94cbad72ad0e89db4d3391d947b4f420936c5332ff1e91cde6bd,Manchester
"Unit 4, 1121 Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,NA,NA,2012-07-24,9bee0999d7c56a1696c6cb843dbb5a88ed0452c03a88a7c8f6735a2689fa89a9,Manchester
"UNIT 2, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Consider installing solar water heating.,EPC-R3,2011-04-06,7a69f237cd26746e8b4bb0de7e755ba5eca6aae3bd333b7ebb3e980a1b9f8fa1,Manchester
"UNIT 2, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",EPC-E7,2011-04-06,7a69f237cd26746e8b4bb0de7e755ba5eca6aae3bd333b7ebb3e980a1b9f8fa1,Manchester
"Unit 1, 1121 Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,NA,NA,2012-02-28,f9d118942a7108eee5427d4164a44f08a1d6bc91f44dcb68d8c9da3d65424b41,Manchester
"UNIT 1, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Add optimum start/stop to the heating system.,EPC-H7,2010-04-29,969e4d9051d1d34234c6989f13f1b12e4090a8892f946321317d224e2fe4a3b6,Manchester
"UNIT 2, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Add weather compensation controls to heating system.,EPC-H8,2010-04-29,db6be5e216c30695a797e193e41ecfd7d2d5fbba99c6238f2faea99e6b15676f,Manchester
"UNIT 2, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Consider installing a ground source heat pump.,EPC-R1,2010-04-29,db6be5e216c30695a797e193e41ecfd7d2d5fbba99c6238f2faea99e6b15676f,Manchester
"1121, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Some windows have high U-values - consider installing secondary glazing.,EPC-E5,2011-01-21,a80c53a1bac424b360fd1f66419935f89dce78d063fffebbea508ebb5971ba66,Manchester
"UNIT 2, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Consider installing building mounted wind turbine(s).,EPC-R2,2011-04-06,7a69f237cd26746e8b4bb0de7e755ba5eca6aae3bd333b7ebb3e980a1b9f8fa1,Manchester
"UNIT 3, Tower Mill, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Consider installing an air source heat pump.,EPC-R5,2010-04-29,cbd27930fc4e7d09bfa2cb5a923452e6f9f413e2b3efc799440b468d006c1a6d,Manchester
"1121, Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,EPC-E8,2011-01-21,a80c53a1bac424b360fd1f66419935f89dce78d063fffebbea508ebb5971ba66,Manchester
"Topps Tiles, Unit 4, 1119 Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,NA,NA,2012-06-01,0f63687cd4dcfbb4ee6e41e560316a5e2fad5f40bcfcf78a1e139f83693740e6,Manchester
"Unit 2, 1121 Ashton Old Road",M111AA,-2.17229339407319,53.4737562384045,Consider replacing T8 lamps with retrofit T5 conversion kit.,EPC-L5,2012-02-28,6ddda61e43cc94cbad72ad0e89db4d3391d947b4f420936c5332ff1e91cde6bd,Manchester
